IC0085;*;17.956458498499998;0.4524722222222222;;;;;;
IC0086;G;18.3688334284;-15.758333333333335;;;;0.72;0.34;142
IC0087;G;18.5657917193;0.7653333333333333;;;;0.69;0.63;66
IC0088;G;18.630416771;0.79175;18.07;;;0.53;0.44;129
IC0090;G;19.1264584345;-6.022861111111111;;;;1.25;1.12;146
IC0091;G;19.6642917981;2.5536666666666665;;;;0.71;0.26;64
IC0093;G;19.7597500078;-16.93961111111111;13.57;;;1.21;0.56;171
IC0094;*;20.0228750183;32.717333333333336;;;;;;
IC0095;G;19.8245000596;-11.42586111111111;;;;0.61;0.50;54
IC0096;G;20.1384167774;29.617250000000002;;;;0.78;0.30;44
IC0098;G;20.2286668496;-11.395277777777778;;;;0.68;0.61;55
IC0099;G;20.6140000912;-11.047444444444444;;;;0.58;0.52;54
IC0100;G;20.7248335132;-3.3569722222222222;;;;1.04;0.77;88
IC0101;G;21.0356250285;9.930527777777778;;;;1.24;0.59;124
IC0102;G;21.1097084211;9.886555555555555;;;;0.75;0.37;111
IC0103;G;21.1518334548;2.04425;;;;0.95;0.67;128
IC0104;**;21.140000112;-0.5432777777777779;;;;;;
IC0105;G;21.1927084875;2.075277777777778;;;;0.58;0.29;47
IC0107;G;21.3527500822;14.864611111111111;;;;1.62;1.31;6
IC0108;G;21.1623334632;-11.364416666666667;;;;1.30;0.36;4
IC0109;G;21.3045417103;2.066222222222222;;;;0.76;0.57;70
IC0110;Other;21.444166822;33.514694444444444;;;;;;
IC0111;Other;21.5005416671;33.49711111111111;;;;;;
IC0112;G;21.5125833434;11.442972222222222;;;;0.72;0.37;127
IC0113;G;21.606250085;19.191972222222223;;;;0.35;0.26;160
IC0114;G;21.5940834086;9.909944444444445;;;;1.40;0.56;154
IC0115;G;21.7268335148;19.214694444444444;14.03;;;0.76;0.76;80
IC0116;G;21.7107085019;-3.017722222222222;;;;0.87;0.56;125
IC0118;G;21.9001667868;-3.002527777777778;;;;0.72;0.55;31
IC0119;G;21.9792501834;-1.9595277777777778;;;;1.19;0.58;77
IC0120;G;22.0540000432;-0.0844722222222222;;;;0.92;0.33;138
IC0121;G;22.0907500726;2.513027777777778;;;;1.00;0.62;108
IC0122;G;22.055000044;-13.16111111111111;;;;0.65;0.32;14
IC0123;G;22.2144168382;2.446444444444445;15.16;;;0.67;0.47;44
IC0124;*;22.2878333636;-0.06297222222222221;;;;;;
IC0125;G;22.3264583945;-12.720166666666666;;;;0.61;0.59;53
IC0126;G;22.4494168262;-0.016250000000000053;;;;0.89;0.81;30
IC0127;G;22.4483751587;-5.0199444444444445;9.20;;;1.69;0.45;110
IC0128;G;22.8494584129;-11.37561111111111;;;;0.82;0.61;165
IC0129;G;22.8802501042;-11.345611111111111;;;;1.23;0.60;63
IC0130;G;22.8697500958;-14.408388888888888;;;;0.75;0.64;27
IC0131;HII;23.3107500486;30.75325;;;;0.30;;
IC0132;HII;23.3163333864;30.945611111111113;14.82;;;0.67;0.55;
IC0133;HII;23.3132500506;30.888388888888887;18.45;;;0.45;0.45;
IC0134;*;23.35416675;30.900666666666666;15.98;;;;;
IC0135;HII;23.5647083851;30.620083333333334;;;;0.40;;
IC0136;*Ass;23.5668333868;30.562055555555556;;;;;;
IC0137;*Ass;23.4121251297;30.522499999999997;;;;;;
IC0138;G;23.2582500066;0.6898333333333333;;;;1.12;0.74;23
IC0139;*Ass;23.4968335308;30.567444444444444;;;;;;
IC0140;*Ass;23.4923751939;30.55013888888889;;;;;;
IC0141;G;23.2154585057;-13.185388888888887;;;;1.23;0.91;5
IC0142;HII;23.4813751851;30.757805555555557;14.20;;;0.50;;
IC0143;HII;23.5455417031;30.776416666666666;;;;0.30;;
IC0144;G;24.4202084695;-12.685333333333332;;;;0.74;0.67;46
IC0145;G;24.6603334616;0.7414999999999999;;;;0.69;0.50;6
IC0147;G;24.9989585325;-13.137361111111112;;;;0.76;0.42;58
IC0148;G;25.6123750899;13.977027777777778;;;;1.82;0.57;45
IC0149;G;25.6057500846;-15.699583333333333;;;;1.27;0.41;82
IC0150;G;25.7396668584;4.200166666666667;;;;0.88;0.50;137
IC0151;Other;25.9894585249;13.20261111111111;;;;;;
IC0152;Other;26.0307916913;13.03586111111111;;;;;;
IC0153;Other;26.1508751207;12.628944444444445;;;;;;
IC0154;G;26.3177917209;10.649194444444444;;;;1.19;0.23;66
IC0155;Other;26.8847084411;60.61083333333333;;;;;;
IC0156;G;26.3717084307;10.552722222222222;;;;1.51;1.33;105
IC0157;Other;26.426666808;12.873333333333333;;;;;;
IC0158;G;26.4730001784;-5.064305555555555;;;;0.70;0.53;140
IC0159;G;26.6043750835;-7.363388888888889;;;;1.35;0.75;28
IC0160;G;26.6231667652;-12.75227777777778;;;;1.28;0.86;85
IC0161;G;27.1822501458;10.507888888888889;;;;0.90;0.54;67
IC0162;G;27.2226251781;10.521611111111111;;;;1.32;1.28;85
